
1,0001,Negative,0.400000006
2,0002,Negative,0.3076923192
3,0003,Positive,0.6000000238
4,0004,Negative,0.0552915819
5,0005,Negative,0.400000006
6,0010,Negative,0.400000006
7,0012,Negative,0.0170459244
8,0013,Positive,0.6923077106
9,0014,Neutral,0.5
10,0015,Negative,0.400000006
11,0016,Positive,0.6923077106
12,0017,Negative,0.3076923192
13,0018,Negative,0.3076923192
14,0020,Negative,0.1649484634
15,0021,Negative,0.2285714149
16,0022,Negative,0.2285714149
17,0023,Positive,0.6000000238
18,0024,Positive,0.7714285851
19,0025,Negative,0.011428888
20,0027,Neutral,0.5
21,0028,Neutral,0.5
22,0029,Negative,0.3076923192
23,0030,Neutral,0.5
24,0031,Positive,0.7714285851
25,0032,Neutral,0.5
26,0033,Negative,0.3076923192
27,0034,Positive,0.6923077106
28,0035,Negative,0.400000006
29,0036,Positive,0.6000000238
30,0037,Negative,0.400000006
31,0038,Negative,0.0807061717
32,0039,Neutral,0.5
33,0040,Neutral,0.5
34,0041,Positive,0.8350515366
35,0042,Negative,0.1649484634
36,0043,Positive,0.8350515366
37,0044,Neutral,0.5
38,0045,Positive,0.6000000238
39,0046,Negative,0.400000006
40,0048,Neutral,0.5
41,0049,Negative,0.0807061717
42,0051,Negative,0.2285714149
43,0052,Neutral,0.5
44,0053,Neutral,0.5
45,0100,Negative,0.400000006
46,0101,Positive,0.6000000238
47,0102,Negative,0.400000006
48,0103,Negative,0.400000006
49,0104,Negative,0.2285714149
50,0105,Negative,0.400000006
51,0106,Negative,0.0807061717
52,0107,Neutral,0.5
53,0108,Negative,0.400000006
54,0109,Neutral,0.5
55,0110,Neutral,0.5
56,0111,Negative,0.2285714149
57,0112,Negative,0.0807061717
58,0113,Neutral,0.5
59,0114,Negative,0.3076923192
60,0115,Negative,0.400000006
61,0116,Positive,0.6000000238
62,0117,Positive,0.6923077106
63,0118,Neutral,0.5
64,0119,Neutral,0.5
65,0120,Negative,0.400000006
66,0121,Positive,0.6923077106
67,0122,Negative,0.2285714149
68,0123,Positive,0.6923077106
69,0124,Negative,0.3076923192
70,0125,Neutral,0.5
71,0126,Negative,0.1649484634
72,0127,Negative,0.400000006
73,0128,Negative,0.3076923192
74,0129,Negative,0.400000006
75,0130,Negative,0.3076923192
76,0131,Negative,0.2285714149
77,0132,Negative,0.3076923192
78,0134,Neutral,0.5
79,0135,Negative,0.1163636297
80,0136,Negative,0.2285714149
81,0137,Negative,0.1163636297
82,0138,Neutral,0.5
83,0139,Negative,0.1649484634
84,0140,Positive,0.6923077106
85,0141,Neutral,0.5
86,0142,Negative,0.400000006
87,0143,Neutral,0.5
88,0144,Negative,0.3076923192
89,0145,Negative,0.2285714149
90,0146,Positive,0.6000000238
91,0147,Negative,0.1649484634
92,0148,Positive,0.6000000238
93,0149,Negative,0.400000006
94,0150,Negative,0.2285714149
95,0151,Negative,0.3076923192
96,0152,Neutral,0.5
97,0153,Positive,0.6000000238
98,0154,Positive,0.6000000238
99,0155,Positive,0.6923077106
100,0156,Neutral,0.5
